Num,Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,Anlong,106469,92663,107983,113755,120030,134200,144700,152000,155700,167500,169300,148600,171100,170000,175200,180200,184199,187680,190426,171946,110603,153173,166697,190400,195320
1,Guiyang,128220,124595,0,0,0,0,177800,187100,190900,195100,185200,116200,169600,172300,174100,165800,160372,162563,159256,158544,103366,111564,105700,104141,99324
2,Tongren,103307,88176,90780,110620,97899,111100,117400,121800,127200,130300,133400,129200,129800,132900,122200,134500,112908,143475,142570,143791,98127,73342,71660,82533,83398
3,Bozhou,485244,475132,483702,530155,217536,596500,613200,276500,291700,613900,570200,543300,603400,564300,609700,528400,625132,671826,668771,673874,509953,563557,528784,575990,591100
4,Ceheng,38976,29106,40168,42431,45200,48900,52200,57300,63200,65400,66100,61400,62500,63200,64200,65600,66598,67005,67482,65570,34492,48800,49090,52200,51830
5,Cengong,66404,53074,53597,66612,66733,70600,72800,73100,74000,73600,75800,61900,68000,69300,71200,72200,73632,73960,76598,76860,47822,58917,57795,63112,63999
6,Chishui,83629,85943,89017,96431,102233,109300,117900,587700,600000,130200,133600,137400,142000,144900,149900,125000,149000,156740,147301,154709,111304,120814,117406,138067,143684
7,Congjiang,75628,76695,78382,78681,81189,82900,89500,100000,101900,103600,104000,95900,106000,112500,118100,122600,125047,128452,127282,127846,80997,100969,98945,108092,109403
8,Dafang,164492,155517,184075,218316,227560,245100,277500,291000,305200,310300,287100,283100,250000,307000,318200,327900,322438,344938,356544,328447,241157,257111,240626,262018,268724
9,Danzhai,34482,25749,30399,25606,34850,35500,41300,48000,50200,52600,52600,39500,50200,52300,53300,54300,55757,56463,54850,55090,33238,41780,40927,46240,46695
10,Daozhen,111160,66397,107076,112020,201246,120600,129600,201500,210800,149500,130600,126100,140500,150200,133700,101200,155238,160929,158861,149153,110893,133093,128984,144025,146547
11,Dejiang,129973,131105,133635,138634,141804,148900,160900,170600,172300,175500,144600,154700,163000,173700,160200,149800,138833,176760,171405,176361,99537,139486,133274,178256,175051
12,Duyun,85677,76663,84322,84949,87026,88600,90200,92200,88000,89700,91300,74600,93700,95600,98900,107500,110999,115495,122365,125028,81284,99635,100461,101815,102245
13,Dushan,93617,81903,95983,96642,101439,105000,108300,112700,78600,109300,109800,88200,105200,110300,111800,120900,124821,128765,135232,138813,88127,108194,106686,111527,112893
14,Fenggang,136946,130879,140752,150447,117506,178500,182300,150100,157900,217300,157200,147000,163400,176100,172200,152700,173964,183375,183186,193523,99476,157974,152440,177334,203215
15,Fuquan,76231,67998,80118,88936,89844,97200,97700,101000,84800,102500,107100,75300,108000,115200,117100,124200,126779,130076,134088,134873,88659,107451,103913,116526,117621
16,Guanling,79540,84251,92417,99680,102824,104800,108100,111600,112800,101700,104300,87000,106000,108700,111300,112000,113596,115309,116584,110430,82803,98521,95733,96270,94376
17,Guiding,72837,64214,70164,72645,73258,75400,76300,80200,77400,78300,81200,46700,81200,85100,86600,89000,91666,94407,97378,99504,62891,78106,75364,80540,80934
18,Hezhang,92184,101433,107322,124148,129772,130700,145800,143700,166800,190800,192000,178700,170400,198400,205000,205200,193504,212873,238634,255510,183455,191766,210725,249577,254800
19,Zunyi,25730,26105,27756,33558,30442,34500,35300,96800,101200,100800,90800,88100,92500,170100,175100,140000,171402,172018,172032,167507,123013,139968,129079,141430,135821
20,Huangping,88627,80559,69467,83174,93223,92000,94100,103900,105100,105700,109100,85400,107300,113000,104300,110000,110498,114307,118026,118475,72213,89850,87578,105534,107119
21,Huishui,115072,115675,123025,126519,130927,132100,132800,137000,124200,138200,139900,102500,140300,144000,149700,157400,162181,164541,166662,169780,110533,137549,131048,138994,140686
22,Jianhe,48214,42699,43361,45706,49419,51000,59800,64900,66900,69000,70900,62800,70700,73100,67900,71700,74102,75006,75859,76084,48716,60601,59259,61669,61743
23,Jiangkou,73110,73972,75347,78923,71614,76100,80000,83100,84800,87400,87400,86600,87500,89300,90100,92600,77868,93657,91587,90238,66608,71023,66927,67169,66740
